;nederbörd [mm];temperatur [°C]
2022-01-01;10.1;-4.2
2022-01-02;0.2;-1.5
2022-01-03;1.9;0.6
2022-01-04;1.2;-2.1
2022-01-05;0.4;-5.7
2022-01-06;0.0;-10.4
2022-01-07;7.6;-12.8
2022-01-08;1.3;-5.9
2022-01-09;0.2;-4.0
2022-01-10;0.0;-4.7
2022-01-11;0.6;-2.5
2022-01-12;0.0;0.2
2022-01-13;2.1;4.4
2022-01-14;0.0;0.9
2022-01-15;0.0;-2.2
2022-01-16;0.7;-0.4
2022-01-17;0.2;-1.4
2022-01-18;0.0;-1.9
2022-01-19;6.6;1.4
2022-01-20;0.0;-3.5
2022-01-21;0.0;-5.5
2022-01-22;0.0;-6.3
2022-01-23;0.0;-2.8
2022-01-24;0.0;-0.3
2022-01-25;0.0;-4.8
2022-01-26;0.3;-1.3
2022-01-27;4.0;-1.4
2022-01-28;1.3;-2.9
2022-01-29;14.6;0.9
2022-01-30;0.3;-1.5
2022-01-31;0.0;-8.8
2022-02-01;0.9;-9.8
2022-02-02;0.1;-9.2
2022-02-03;2.0;-8.4
2022-02-04;2.2;-0.6
2022-02-05;3.0;-3.3
2022-02-06;0.0;-1.6
2022-02-07;0.2;-4.2
2022-02-08;0.0;0.1
2022-02-09;0.0;0.4
2022-02-10;0.0;-1.2
2022-02-11;0.0;-5.0
2022-02-12;1.8;-0.8
2022-02-13;2.8;1.6
2022-02-14;13.7;-0.6
2022-02-15;3.2;-0.1
2022-02-16;2.5;-0.3
2022-02-17;0.0;-2.8
2022-02-18;0.0;-4.6
2022-02-19;0.0;-4.6
2022-02-20;6.2;-7.0
2022-02-21;9.9;-3.6
2022-02-22;0.2;-8.0
2022-02-23;2.0;-3.8
2022-02-24;0.0;0.8
2022-02-25;0.0;-1.8
2022-02-26;0.0;-3.1
2022-02-27;0.0;2.2
2022-02-28;0.0;-1.2
2022-03-01;0.0;-0.5
2022-03-02;0.0;0.1
2022-03-03;0.0;-1.7
2022-03-04;0.0;-4.2
2022-03-05;0.0;-3.0
2022-03-06;0.0;-1.2
2022-03-07;0.0;1.4
2022-03-08;0.0;-1.8
2022-03-09;0.0;-1.5
2022-03-10;0.0;-0.8
2022-03-11;0.0;0.4
2022-03-12;0.0;-1.4
2022-03-13;0.0;-0.6
2022-03-14;0.0;0.3
2022-03-15;0.0;-1.4
2022-03-16;0.0;-0.1
2022-03-17;1.3;-1.4
2022-03-18;0.0;1.9
2022-03-19;0.0;2.5
2022-03-20;0.0;4.7
2022-03-21;0.0;1.9
2022-03-22;0.0;1.1
2022-03-23;0.0;3.8
2022-03-24;0.0;5.4
2022-03-25;0.0;7.0
2022-03-26;0.0;3.0
2022-03-27;0.0;2.5
2022-03-28;0.1;4.2
2022-03-29;0.0;-3.3
2022-03-30;0.0;-4.0
2022-03-31;1.6;-3.7
2022-04-01;0.3;-3.6
2022-04-02;0.0;-2.9
2022-04-03;0.0;0.5
2022-04-04;7.3;-1.5
2022-04-05;0.3;-4.0
2022-04-06;0.0;-2.1
2022-04-07;17.4;-2.7
2022-04-08;5.1;-3.2
2022-04-09;1.7;-1.7
2022-04-10;0.0;2.6
2022-04-11;0.0;2.5
2022-04-12;0.0;2.5
2022-04-13;1.8;1.5
2022-04-14;0.3;2.1
2022-04-15;0.0;3.2
2022-04-16;0.0;5.1
2022-04-17;0.0;7.9
2022-04-18;0.0;9.1
2022-04-19;0.0;8.3
2022-04-20;0.0;8.1
2022-04-21;0.0;8.4
2022-04-22;0.0;7.0
2022-04-23;0.0;4.7
2022-04-24;0.0;4.1
2022-04-25;0.0;6.1
2022-04-26;0.0;3.9
2022-04-27;0.0;2.1
2022-04-28;0.0;4.4
2022-04-29;0.0;3.7
2022-04-30;0.0;5.0
2022-05-01;0.0;6.8
2022-05-02;0.0;7.9
2022-05-03;0.0;4.0
2022-05-04;0.0;5.3
2022-05-05;1.0;9.0
2022-05-06;3.7;10.1
2022-05-07;0.2;8.0
2022-05-08;0.0;4.8
2022-05-09;0.0;9.5
2022-05-10;3.3;10.0
2022-05-11;1.2;9.4
2022-05-12;1.0;9.7
2022-05-13;1.1;9.5
2022-05-14;0.2;10.3
2022-05-15;0.0;8.9
2022-05-16;0.0;7.4
2022-05-17;0.0;7.2
2022-05-18;0.0;11.6
2022-05-19;14.6;12.8
2022-05-20;0.8;10.2
2022-05-21;0.0;9.2
2022-05-22;0.0;10.4
2022-05-23;0.0;11.4
2022-05-24;1.8;12.3
2022-05-25;2.0;11.7
2022-05-26;5.0;9.4
2022-05-27;13.7;8.4
2022-05-28;0.2;9.5
2022-05-29;0.0;8.8
2022-05-30;0.1;10.6
2022-05-31;18.6;9.3
2022-06-01;2.5;11.4
2022-06-02;3.0;10.1
2022-06-03;4.8;11.4
2022-06-04;0.0;13.2
2022-06-05;0.4;13.4
2022-06-06;0.0;14.3
2022-06-07;1.6;13.6
2022-06-08;8.5;13.2
2022-06-09;0.2;14.9
2022-06-10;2.8;15.9
2022-06-11;0.0;14.7
2022-06-12;5.5;13.5
2022-06-13;1.1;13.5
2022-06-14;0.0;14.3
2022-06-15;0.0;14.1
2022-06-16;0.5;14.6
2022-06-17;4.7;15.9
2022-06-18;0.1;14.9
2022-06-19;0.0;12.4
2022-06-20;0.6;14.1
2022-06-21;2.9;15.2
2022-06-22;0.0;12.9
2022-06-23;0.0;18.5
2022-06-24;0.0;19.7
2022-06-25;0.0;21.3
2022-06-26;0.0;21.9
2022-06-27;0.0;22.9
2022-06-28;13.3;19.2
2022-06-29;1.6;17.9
2022-06-30;3.5;19.3
2022-07-01;9.9;19.3
2022-07-02;5.5;17.8
2022-07-03;0.6;15.4
2022-07-04;5.3;14.3
2022-07-05;0.6;14.3
2022-07-06;0.7;15.0
2022-07-07;0.3;14.5
2022-07-08;0.0;13.6
2022-07-09;3.1;13.4
2022-07-10;1.0;11.6
2022-07-11;0.0;15.1
2022-07-12;0.0;17.5
2022-07-13;4.2;15.8
2022-07-14;1.7;12.4
2022-07-15;0.3;10.4
2022-07-16;0.0;11.5
2022-07-17;0.0;12.5
2022-07-18;0.4;15.4
2022-07-19;0.0;16.2
2022-07-20;0.0;21.3
2022-07-21;14.9;23.1
2022-07-22;22.5;13.8
2022-07-23;0.0;14.1
2022-07-24;0.2;15.3
2022-07-25;7.4;15.6
2022-07-26;4.2;15.1
2022-07-27;0.0;13.6
2022-07-28;0.0;12.2
2022-07-29;0.0;14.1
2022-07-30;0.0;16.6
2022-07-31;1.5;15.8
2022-08-01;6.6;14.2
2022-08-02;2.1;12.6
2022-08-03;6.8;15.4
2022-08-04;0.8;16.6
2022-08-05;1.5;16.6
2022-08-06;4.9;12.3
2022-08-07;0.2;12.7
2022-08-08;0.0;13.9
2022-08-09;0.0;15.1
2022-08-10;0.0;17.6
2022-08-11;0.0;19.2
2022-08-12;0.0;17.7
2022-08-13;0.0;18.7
2022-08-14;0.0;19.2
2022-08-15;1.0;18.6
2022-08-16;6.9;19.5
2022-08-17;0.2;18.9
2022-08-18;1.1;15.7
2022-08-19;37.5;18.3
2022-08-20;8.2;18.4
2022-08-21;0.2;15.4
2022-08-22;0.0;14.1
2022-08-23;0.0;13.1
2022-08-24;0.0;14.3
2022-08-25;0.0;15.7
2022-08-26;5.7;14.4
2022-08-27;17.1;16.5
2022-08-28;0.0;13.0
2022-08-29;0.0;10.6
2022-08-30;0.0;10.6
2022-08-31;0.0;10.1
2022-09-01;0.0;9.3
2022-09-02;3.6;8.7
2022-09-03;1.4;8.0
2022-09-04;0.0;7.9
2022-09-05;0.0;9.8
2022-09-06;0.0;11.1
2022-09-07;0.0;9.1
2022-09-08;0.0;8.9
2022-09-09;0.0;8.1
2022-09-10;0.0;8.5
2022-09-11;0.0;10.2
2022-09-12;2.7;11.6
2022-09-13;11.0;10.5
2022-09-14;1.3;9.0
2022-09-15;3.6;9.2
2022-09-16;0.9;9.5
2022-09-17;0.6;9.9
2022-09-18;0.1;9.4
2022-09-19;0.6;8.3
2022-09-20;0.0;7.8
2022-09-21;0.0;6.7
2022-09-22;0.0;6.9
2022-09-23;1.8;10.4
2022-09-24;4.9;9.5
2022-09-25;4.6;9.1
2022-09-26;1.7;8.2
2022-09-27;1.1;10.1
2022-09-28;1.8;9.5
2022-09-29;1.3;6.2
2022-09-30;0.4;6.0
2022-10-01;2.7;8.0
2022-10-02;2.9;8.2
2022-10-03;0.0;6.8
2022-10-04;2.2;7.0
2022-10-05;3.0;12.3
2022-10-06;0.0;9.8
2022-10-07;1.5;10.4
2022-10-08;0.0;6.9
2022-10-09;0.0;4.9
2022-10-10;1.5;9.0
2022-10-11;0.0;5.7
2022-10-12;0.0;3.0
2022-10-13;1.3;8.2
2022-10-14;0.2;7.8
2022-10-15;5.4;6.4
2022-10-16;3.3;7.5
2022-10-17;4.8;5.5
2022-10-18;0.1;4.5
2022-10-19;0.0;2.3
2022-10-20;0.0;1.9
2022-10-21;0.0;1.0
2022-10-22;0.1;1.8
2022-10-23;0.1;0.9
2022-10-24;10.8;3.4
2022-10-25;9.3;6.5
2022-10-26;0.3;4.8
2022-10-27;0.1;8.3
2022-10-28;1.1;10.3
2022-10-29;0.0;9.5
2022-10-30;0.0;2.7
2022-10-31;0.0;8.0
2022-11-01;1.5;6.6
2022-11-02;1.7;8.5
2022-11-03;0.0;5.8
2022-11-04;1.4;6.3
2022-11-05;5.4;6.1
2022-11-06;8.1;6.3
2022-11-07;4.9;6.2
2022-11-08;4.7;4.8
2022-11-09;0.9;7.7
2022-11-10;1.0;7.1
2022-11-11;0.0;11.6
2022-11-12;0.0;8.8
2022-11-13;0.0;1.1
2022-11-14;0.2;3.1
2022-11-15;0.2;2.0
2022-11-16;1.2;0.4
2022-11-17;1.2;-1.2
2022-11-18;0.7;-1.5
2022-11-19;1.0;-2.2
2022-11-20;5.8;-2.8
2022-11-21;4.1;-3.1
2022-11-22;2.7;-1.8
2022-11-23;1.1;-1.8
